Designator,Mid X,Mid Y,Rotation,Layer
C1,14.55,92.0,270.0,top
C10,86.55,74.0,270.0,top
C11,14.55,56.0,270.0,top
C12,32.55,56.0,270.0,top
C13,50.55,56.0,270.0,top
C14,68.55,56.0,270.0,top
C15,86.55,56.0,270.0,top
C16,14.55,38.0,270.0,top
C17,32.55,38.0,270.0,top
C18,50.55,38.0,270.0,top
C19,68.55,38.0,270.0,top
C2,32.55,92.0,270.0,top
C20,86.55,38.0,270.0,top
C21,14.55,20.0,270.0,top
C22,32.55,20.0,270.0,top
C23,50.55,20.0,270.0,top
C24,68.55,20.0,270.0,top
C25,86.55,20.0,270.0,top
C26,105.75,89.4,270.0,top
C27,136.125,75.115,180.0,top
C28,129.7,59.7,90.0,top
C29,139.5,59.6,180.0,top
C3,50.55,92.0,270.0,top
C30,140.725,46.9,180.0,top
C4,68.55,92.0,270.0,top
C5,86.55,92.0,270.0,top
C6,14.55,74.0,270.0,top
C7,32.55,74.0,270.0,top
C8,50.55,74.0,270.0,top
C9,68.55,74.0,270.0,top
D1,17.0,86.0,0.0,top
D10,89.0,68.0,0.0,top
D11,17.0,50.0,0.0,top
D12,35.0,50.0,0.0,top
D13,53.0,50.0,0.0,top
D14,71.0,50.0,0.0,top
D15,89.0,50.0,0.0,top
D16,17.0,32.0,0.0,top
D17,35.0,32.0,0.0,top
D18,53.0,32.0,0.0,top
D19,71.0,32.0,0.0,top
D2,35.0,86.0,0.0,top
D20,89.0,32.0,0.0,top
D21,17.0,14.0,0.0,top
D22,35.0,14.0,0.0,top
D23,53.0,14.0,0.0,top
D24,71.0,14.0,0.0,top
D25,89.0,14.0,0.0,top
D26,22.3,66.5,270.0,top
D27,22.3,48.0,270.0,top
D28,22.3,30.0,270.0,top
D29,22.3,12.0,270.0,top
D3,53.0,86.0,0.0,top
D30,40.3,66.0,270.0,top
D31,40.3,48.0,270.0,top
D32,40.3,30.0,270.0,top
D33,40.3,12.0,270.0,top
D34,58.1,66.0,270.0,top
D35,58.1,48.0,270.0,top
D36,58.1,30.0,270.0,top
D37,58.1,12.0,270.0,top
D38,76.0,66.0,270.0,top
D39,76.0,48.0,270.0,top
D4,71.0,86.0,0.0,top
D40,76.0,30.0,270.0,top
D41,76.0,12.0,270.0,top
D42,94.275,84.75,270.0,top
D43,94.2,66.0,270.0,top
D44,94.1,48.0,270.0,top
D45,94.1,30.0,270.0,top
D46,22.3,84.75,270.0,top
D47,40.3,84.75,270.0,top
D48,58.1,84.75,270.0,top
D49,76.0,84.75,270.0,top
D5,89.0,86.0,0.0,top
D50,94.1,12.0,270.0,top
D6,17.0,68.0,0.0,top
D7,35.0,68.0,0.0,top
D8,53.0,68.0,0.0,top
D9,71.0,68.0,0.0,top
F1,140.25,82.25,0.0,top
J1,153.6875,78.1475,90.0,top
J2,129.0,94.6,270.0,top
R1,124.375,61.5,180.0,top
R2,99.35,86.9,90.0,top
R3,143.3,75.3,270.0,top
R4,146.8,83.9,0.0,top
SW1,22.52,79.3,90.0,top
SW10,94.52,61.3,90.0,top
SW11,22.52,43.3,90.0,top
SW12,40.52,43.3,90.0,top
SW13,58.52,43.3,90.0,top
SW14,76.52,43.3,90.0,top
SW15,94.52,43.3,90.0,top
SW16,22.52,25.3,90.0,top
SW17,40.52,25.3,90.0,top
SW18,58.52,25.3,90.0,top
SW19,76.52,25.3,90.0,top
SW2,40.52,79.3,90.0,top
SW20,94.52,25.3,90.0,top
SW21,22.52,7.3,90.0,top
SW22,40.52,7.3,90.0,top
SW23,58.52,7.3,90.0,top
SW24,76.52,7.3,90.0,top
SW25,94.52,7.3,90.0,top
SW26,111.275,71.55,270.0,top
SW3,58.52,79.3,90.0,top
SW4,76.52,79.3,90.0,top
SW5,94.52,79.3,90.0,top
SW6,22.52,61.3,90.0,top
SW7,40.52,61.3,90.0,top
SW8,58.52,61.3,90.0,top
SW9,76.52,61.3,90.0,top
U1,111.325,49.66,270.0,top
U2,140.425,38.225,270.0,top
